#                  BLOCK:   ACTUAL_KE:          KE_AVE:             ERROR:
                 461             1.12224             1.17266           0.0187243
                 462             1.12059             1.17254           0.0186841
                 463             1.11895             1.17243           0.0186441
                 464             1.11734             1.17231           0.0186043
                 465             1.11575             1.17219           0.0185647
                 466             1.11419             1.17206           0.0185253
                 467             1.11266             1.17194           0.0184861
                 468             1.11116             1.17181            0.018447
                 469             1.10969             1.17167           0.0184082
                 470             1.10825             1.17154           0.0183695
                 471             1.10685              1.1714            0.018331
                 472             1.10548             1.17126           0.0182927
                 473             1.10415             1.17112           0.0182546
                 474             1.10285             1.17098           0.0182166
                 475             1.10159             1.17083           0.0181789
                 476             1.10036             1.17068           0.0181413
                 477             1.09918             1.17053           0.0181039
                 478             1.09804             1.17038           0.0180666
                 479             1.09694             1.17023           0.0180296
                 480             1.09588             1.17007           0.0179927
                 481             1.09487             1.16992           0.0179559
                 482              1.0939             1.16976           0.0179194
                 483             1.09297              1.1696            0.017883
                 484             1.09209             1.16944           0.0178468
                 485             1.09126             1.16928           0.0178107
                 486             1.09047             1.16912           0.0177748
                 487             1.08973             1.16895            0.017739
                 488             1.08904             1.16879           0.0177034
                 489              1.0884             1.16862            0.017668
                 490              1.0878             1.16846           0.0176327
                 491             1.08725             1.16829           0.0175976
                 492             1.08676             1.16813           0.0175626
                 493             1.08631             1.16796           0.0175277
                 494             1.08591              1.1678           0.0174931
                 495             1.08556             1.16763           0.0174585
                 496             1.08527             1.16746           0.0174241
                 497             1.08502              1.1673           0.0173898
                 498             1.08483             1.16713           0.0173557
                 499             1.08469             1.16697           0.0173217
                 500              1.0846              1.1668           0.0172878
                 501             1.08456             1.16664           0.0172541
                 502             1.08458             1.16647           0.0172205
                 503             1.08465             1.16631            0.017187
                 504             1.08477             1.16615           0.0171537
                 505             1.08495             1.16599           0.0171205
                 506             1.08518             1.16583           0.0170874
                 507             1.08546             1.16567           0.0170544
                 508              1.0858             1.16551           0.0170216
                 509             1.08619             1.16536           0.0169889
                 510             1.08664              1.1652           0.0169563
                 511             1.08714             1.16505           0.0169238
                 512              1.0877              1.1649           0.0168914
                 513             1.08831             1.16475           0.0168591
                 514             1.08898              1.1646            0.016827
                 515             1.08971             1.16446           0.0167949
                 516             1.09049             1.16431            0.016763
                 517             1.09132             1.16417           0.0167311
                 518             1.09222             1.16403           0.0166994
                 519             1.09317              1.1639           0.0166678
                 520             1.09417             1.16376           0.0166363
                 521             1.09523             1.16363           0.0166049
                 522             1.09634              1.1635           0.0165736
                 523             1.09751             1.16338           0.0165424
                 524             1.09873             1.16325           0.0165113
                 525                 1.1             1.16313           0.0164802
                 526             1.10132             1.16302           0.0164493
                 527              1.1027              1.1629           0.0164185
                 528             1.10413             1.16279           0.0163878
                 529             1.10561             1.16268           0.0163572
                 530             1.10713             1.16258           0.0163266
                 531             1.10871             1.16248           0.0162962
                 532             1.11033             1.16238           0.0162659
                 533             1.11201             1.16228           0.0162356
                 534             1.11372             1.16219           0.0162055
                 535             1.11548             1.16211           0.0161754
                 536             1.11729             1.16202           0.0161455
                 537             1.11913             1.16194           0.0161156
                 538             1.12102             1.16187           0.0160858
                 539             1.12294             1.16179           0.0160561
                 540             1.12489             1.16172           0.0160266
                 541             1.12688             1.16166           0.0159971
                 542              1.1289              1.1616           0.0159677
                 543             1.13095             1.16154           0.0159384
                 544             1.13302             1.16149           0.0159091
                 545             1.13512             1.16144             0.01588
                 546             1.13724              1.1614            0.015851
                 547             1.13938             1.16136           0.0158221
                 548             1.14154             1.16132           0.0157932
                 549             1.14371             1.16129           0.0157645
                 550             1.14589             1.16126           0.0157359
                 551             1.14808             1.16124           0.0157073
                 552             1.15028             1.16122           0.0156789
                 553             1.15248              1.1612           0.0156505
                 554             1.15468             1.16119           0.0156223
                 555             1.15687             1.16118           0.0155941
                 556             1.15906             1.16118           0.0155661
                 557             1.16125             1.16118           0.0155382
                 558             1.16342             1.16118           0.0155103
                 559             1.16558             1.16119           0.0154826
                 560             1.16773              1.1612           0.0154549
                 561             1.16986             1.16122           0.0154274
                 562             1.17196             1.16124           0.0153999
                 563             1.17405             1.16126           0.0153726
                 564             1.17611             1.16129           0.0153454
                 565             1.17814             1.16132           0.0153182
                 566             1.18014             1.16135           0.0152912
                 567              1.1821             1.16139           0.0152643
                 568             1.18403             1.16143           0.0152375
                 569             1.18593             1.16147           0.0152107
                 570             1.18779             1.16152           0.0151841
                 571             1.18961             1.16156           0.0151576
                 572             1.19139             1.16162           0.0151312
                 573             1.19312             1.16167           0.0151049
                 574             1.19482             1.16173           0.0150787
                 575             1.19647             1.16179           0.0150526
                 576             1.19807             1.16185           0.0150266
                 577             1.19963             1.16192           0.0150007
                 578             1.20115             1.16199           0.0149749
                 579             1.20261             1.16206           0.0149492
                 580             1.20403             1.16213           0.0149236
                 581              1.2054              1.1622           0.0148981
                 582             1.20673             1.16228           0.0148727
                 583               1.208             1.16236           0.0148474
                 584             1.20923             1.16244           0.0148222
                 585             1.21041             1.16252           0.0147971
                 586             1.21155              1.1626           0.0147721
                 587             1.21264             1.16269           0.0147471
                 588             1.21369             1.16278           0.0147223
                 589             1.21469             1.16286           0.0146976
                 590             1.21565             1.16295           0.0146729
                 591             1.21656             1.16304           0.0146484
                 592             1.21744             1.16314           0.0146239
                 593             1.21827             1.16323           0.0145996
                 594             1.21906             1.16332           0.0145753
                 595             1.21982             1.16342           0.0145511
                 596             1.22054             1.16351            0.014527
                 597             1.22122             1.16361            0.014503
                 598             1.22187             1.16371           0.0144791
                 599              1.2225             1.16381           0.0144552
                 600             1.22309              1.1639           0.0144315
                 601             1.22365               1.164           0.0144078
                 602             1.22419              1.1641           0.0143842
                 603              1.2247              1.1642           0.0143607
                 604             1.22519             1.16431           0.0143373
                 605             1.22566             1.16441            0.014314
                 606             1.22611             1.16451           0.0142907
                 607             1.22654             1.16461           0.0142675
                 608             1.22696             1.16471           0.0142444
                 609             1.22736             1.16482           0.0142214
