#                  BLOCK:   ACTUAL_TE:          TE_AVE:             ERROR:
                 362       -5.460582e+00       -5.469504e+00        1.019830e-03
                 363       -5.460582e+00       -5.469480e+00        1.017317e-03
                 364       -5.461230e+00       -5.469457e+00        1.014774e-03
                 365       -5.460582e+00       -5.469433e+00        1.012285e-03
                 366       -5.460906e+00       -5.469410e+00        1.009787e-03
                 367       -5.460906e+00       -5.469386e+00        1.007302e-03
                 368       -5.460906e+00       -5.469363e+00        1.004828e-03
                 369       -5.461230e+00       -5.469341e+00        1.002347e-03
                 370       -5.461229e+00       -5.469319e+00        9.998774e-04
                 371       -5.460581e+00       -5.469296e+00        9.974597e-04
                 372       -5.460581e+00       -5.469272e+00        9.950534e-04
                 373       -5.460257e+00       -5.469248e+00        9.926793e-04
                 374       -5.460256e+00       -5.469224e+00        9.903162e-04
                 375       -5.460580e+00       -5.469201e+00        9.879435e-04
                 376       -5.460256e+00       -5.469177e+00        9.856024e-04
                 377       -5.460580e+00       -5.469155e+00        9.832519e-04
                 378       -5.460579e+00       -5.469132e+00        9.809123e-04
                 379       -5.460256e+00       -5.469108e+00        9.786037e-04
                 380       -5.460256e+00       -5.469085e+00        9.763057e-04
                 381       -5.459609e+00       -5.469060e+00        9.740600e-04
                 382       -5.460257e+00       -5.469037e+00        9.717827e-04
                 383       -5.459933e+00       -5.469014e+00        9.695361e-04
                 384       -5.458960e+00       -5.468987e+00        9.673646e-04
                 385       -5.458960e+00       -5.468961e+00        9.652025e-04
                 386       -5.459284e+00       -5.468936e+00        9.630275e-04
                 387       -5.459283e+00       -5.468911e+00        9.608620e-04
                 388       -5.458960e+00       -5.468886e+00        9.587279e-04
                 389       -5.458960e+00       -5.468860e+00        9.566028e-04
                 390       -5.458636e+00       -5.468834e+00        9.545091e-04
                 391       -5.458636e+00       -5.468808e+00        9.524242e-04
                 392       -5.458959e+00       -5.468783e+00        9.503259e-04
                 393       -5.458312e+00       -5.468756e+00        9.482811e-04
                 394       -5.458312e+00       -5.468730e+00        9.462448e-04
                 395       -5.458312e+00       -5.468703e+00        9.442167e-04
                 396       -5.457664e+00       -5.468675e+00        9.422437e-04
                 397       -5.457340e+00       -5.468647e+00        9.403028e-04
                 398       -5.457664e+00       -5.468619e+00        9.383451e-04
                 399       -5.457988e+00       -5.468592e+00        9.363716e-04
                 400       -5.457664e+00       -5.468565e+00        9.344292e-04
                 401       -5.457664e+00       -5.468538e+00        9.324943e-04
                 402       -5.457987e+00       -5.468512e+00        9.305440e-04
                 403       -5.457988e+00       -5.468486e+00        9.286013e-04
                 404       -5.458312e+00       -5.468460e+00        9.266442e-04
                 405       -5.458312e+00       -5.468435e+00        9.246949e-04
                 406       -5.458312e+00       -5.468410e+00        9.227534e-04
                 407       -5.458636e+00       -5.468386e+00        9.207986e-04
                 408       -5.458636e+00       -5.468363e+00        9.188518e-04
                 409       -5.458313e+00       -5.468338e+00        9.169337e-04
                 410       -5.458960e+00       -5.468315e+00        9.149826e-04
                 411       -5.459607e+00       -5.468294e+00        9.130016e-04
                 412       -5.459607e+00       -5.468273e+00        9.110290e-04
                 413       -5.460254e+00       -5.468253e+00        9.090300e-04
                 414       -5.460579e+00       -5.468235e+00        9.070233e-04
                 415       -5.460255e+00       -5.468216e+00        9.050415e-04
                 416       -5.460902e+00       -5.468198e+00        9.030366e-04
                 417       -5.460255e+00       -5.468179e+00        9.010719e-04
                 418       -5.459283e+00       -5.468158e+00        8.991676e-04
                 419       -5.458636e+00       -5.468135e+00        8.973087e-04
                 420       -5.458959e+00       -5.468113e+00        8.954382e-04
                 421       -5.459930e+00       -5.468094e+00        8.935222e-04
                 422       -5.459607e+00       -5.468074e+00        8.916311e-04
