           beta           mean          sigma           E           errE
        76.8987       0.677433       0.710304      -0.376642     0.00166621
        77.2832       0.681325       0.712813      -0.376731     0.00190366
        77.6697       0.684868       0.710298      -0.380288     0.00172058
         78.058        0.68208       0.712933      -0.375998     0.00206008
        78.4483       0.687852       0.722047      -0.374565     0.00208679
        78.8405       0.682309       0.715101      -0.375979     0.00197645
        79.2347       0.685701        0.72465      -0.374557     0.00176741
        79.6309       0.694688       0.724238      -0.376794     0.00205305
        80.0291       0.699327       0.717984      -0.382018     0.00201794
        80.4292       0.708291       0.720542      -0.383403     0.00205866
        80.8314       0.714965       0.711134       -0.38894     0.00189153
        81.6417        0.71376       0.712884       -0.39362     0.00185777
        82.0499       0.710281        0.70724      -0.389051     0.00201416
        82.4602       0.717065       0.700209       -0.39843     0.00193374
        82.8725       0.711536       0.702151      -0.392234     0.00194876
        83.2868       0.718389       0.708879      -0.393166     0.00198795
        84.1218       0.717468       0.708454      -0.394556     0.00176423
        84.5424       0.707517       0.698918      -0.392493     0.00186614
        84.9651       0.708806       0.704721      -0.389822     0.00198622
        85.3899       0.703205         0.7001       -0.39188     0.00170209
        85.8169       0.698215       0.697798      -0.389102     0.00196822
        86.2459       0.695822       0.690478      -0.393266     0.00178025
        86.6772        0.70395       0.691828      -0.396417     0.00198894
        87.5461       0.707431       0.695947      -0.398075     0.00166254
        87.9838       0.706868       0.700812      -0.394151     0.00167285
        88.4238         0.7132       0.698736      -0.393362     0.00191937
        88.8659       0.716664       0.695315      -0.398711     0.00168677
        89.3102       0.722159       0.703105      -0.393681     0.00209833
        89.7568       0.719103       0.700858      -0.397528     0.00177946
        90.6566       0.721235        0.69848      -0.399294     0.00161354
        91.1099       0.711737       0.693963      -0.396001      0.0017851
        92.0232       0.711201       0.695718      -0.401724     0.00170892
        92.9458       0.712964       0.694756      -0.397257     0.00168849
        93.4105       0.712139       0.687172      -0.400467     0.00178745
        93.8775       0.709138       0.696561      -0.394976     0.00188238
        94.8187       0.711132       0.696623      -0.393378     0.00205628
        95.2928       0.720365        0.69891      -0.398479      0.0018006
        95.7692       0.720825       0.699948      -0.399182     0.00161891
        96.2481       0.723049       0.698659      -0.400543      0.0018504
         97.213       0.726382       0.700071      -0.399418     0.00177685
         97.699       0.733131       0.705111      -0.397187     0.00200271
        98.1875       0.728863       0.708183      -0.393841      0.0020678
        98.6785       0.734459       0.702086      -0.400027     0.00191964
        99.6677       0.735724        0.69861      -0.402142     0.00181703
        100.166       0.730887        0.69098      -0.405357     0.00183742
        100.667       0.733449       0.688633      -0.408792     0.00175511
         101.17       0.741432       0.693548       -0.40872     0.00164332
        101.676       0.734774       0.692617      -0.407542     0.00185911
