#                  BLOCK:   ACTUAL_PE:     PE_AVE:      ERROR:
                 446            -7.50818            -7.54921          0.00399411
                 447            -7.52915            -7.54917          0.00398543
                 448            -7.49176            -7.54904          0.00397859
                 449            -7.56599            -7.54908          0.00396991
                 450             -7.5904            -7.54917          0.00396215
                 451            -7.59002            -7.54926           0.0039544
                 452            -7.62873            -7.54944          0.00394956
                 453            -7.67447            -7.54971          0.00395047
                 454            -7.68758            -7.55002          0.00395343
                 455             -7.6287            -7.55019          0.00394852
                 456            -7.62999            -7.55036          0.00394373
                 457            -7.60533            -7.55048          0.00393694
                 458            -7.50763            -7.55039          0.00392945
                 459            -7.56849            -7.55043          0.00392109
                 460            -7.54541            -7.55042          0.00391258
                 461             -7.5182            -7.55035          0.00390472
                 462            -7.50822            -7.55026          0.00389733
                 463            -7.51608            -7.55018          0.00388961
                 464            -7.53455            -7.55015          0.00388138
                 465            -7.54355            -7.55014          0.00387306
                 466            -7.54371            -7.55012          0.00386477
                 467             -7.4952               -7.55          0.00385828
                 468            -7.52663            -7.54995          0.00385036
                 469            -7.46824            -7.54978          0.00384609
                 470            -7.48646            -7.54965          0.00384027
                 471            -7.50288            -7.54955           0.0038334
                 472            -7.45952            -7.54936          0.00383002
                 473            -7.47446             -7.5492          0.00382519
                 474            -7.50649            -7.54911          0.00381818
                 475            -7.46061            -7.54892          0.00381469
                 476            -7.49452            -7.54881          0.00380839
                 477            -7.44682            -7.54859           0.0038064
                 478            -7.49602            -7.54848          0.00380002
                 479            -7.48852            -7.54836          0.00379415
                 480            -7.45884            -7.54817          0.00379083
                 481            -7.44164            -7.54795          0.00378941
                 482            -7.41617            -7.54768           0.0037914
                 483            -7.44707            -7.54747          0.00378927
                 484            -7.44583            -7.54726          0.00378725
                 485            -7.48703            -7.54713          0.00378148
                 486            -7.49174            -7.54702          0.00377542
                 487            -7.47734            -7.54688          0.00377037
                 488            -7.55111            -7.54689          0.00376266
                 489            -7.54097            -7.54687          0.00375498
                 490            -7.61173            -7.54701          0.00374965
                 491            -7.56681            -7.54705          0.00374223
                 492            -7.62938            -7.54721          0.00373836
                 493             -7.6288            -7.54738          0.00373444
                 494            -7.54311            -7.54737          0.00372689
                 495            -7.54454            -7.54736          0.00371937
                 496            -7.51864            -7.54731          0.00371232
                 497            -7.41686            -7.54704          0.00371412
                 498            -7.43622            -7.54682          0.00371332
                 499            -7.49013            -7.54671          0.00370762
                 500            -7.49109             -7.5466          0.00370187
                 501            -7.49472            -7.54649          0.00369593
                 502            -7.46476            -7.54633          0.00369215
                 503            -7.45855            -7.54616          0.00368893
                 504            -7.41996            -7.54591           0.0036901
                 505            -7.50465            -7.54582           0.0036837
                 506            -7.51384            -7.54576          0.00367696
                 507            -7.57106            -7.54581          0.00367004
                 508            -7.49037             -7.5457          0.00366444
                 509             -7.5834            -7.54578          0.00365799
                 510            -7.50198            -7.54569          0.00365183
                 511            -7.61176            -7.54582          0.00364697
                 512            -7.62114            -7.54597          0.00364281
                 513            -7.61869            -7.54611          0.00363847
                 514            -7.63476            -7.54628          0.00363547
                 515            -7.58841            -7.54636          0.00362934
                 516            -7.66113            -7.54658          0.00362911
                 517            -7.68484            -7.54685          0.00363193
                 518            -7.68556            -7.54712          0.00363478
                 519            -7.59216            -7.54721          0.00362881
