#                  BLOCK:   ACTUAL_TE:          TE_AVE:             ERROR:
                 270       -6.484999e+00       -6.335554e+00        5.204566e-03
                 271       -6.533057e+00       -6.336282e+00        5.236139e-03
                 272       -6.499481e+00       -6.336882e+00        5.251152e-03
                 273       -6.488732e+00       -6.337439e+00        5.261293e-03
                 274       -6.471966e+00       -6.337930e+00        5.264950e-03
                 275       -6.510729e+00       -6.338558e+00        5.283169e-03
                 276       -6.456808e+00       -6.338986e+00        5.281371e-03
                 277       -6.416850e+00       -6.339267e+00        5.269780e-03
                 278       -6.415001e+00       -6.339540e+00        5.257861e-03
                 279       -6.467247e+00       -6.339998e+00        5.258902e-03
                 280       -6.462834e+00       -6.340436e+00        5.258387e-03
                 281       -6.446856e+00       -6.340815e+00        5.253294e-03
                 282       -6.393293e+00       -6.341001e+00        5.237960e-03
                 283       -6.364491e+00       -6.341084e+00        5.220109e-03
                 284       -6.367601e+00       -6.341177e+00        5.202563e-03
                 285       -6.357673e+00       -6.341235e+00        5.184631e-03
                 286       -6.364062e+00       -6.341315e+00        5.167117e-03
                 287       -6.390561e+00       -6.341487e+00        5.151961e-03
                 288       -6.418948e+00       -6.341756e+00        5.141088e-03
                 289       -6.459907e+00       -6.342165e+00        5.139529e-03
                 290       -6.451305e+00       -6.342541e+00        5.135567e-03
                 291       -6.422077e+00       -6.342814e+00        5.125187e-03
                 292       -6.444948e+00       -6.343164e+00        5.119556e-03
                 293       -6.411734e+00       -6.343398e+00        5.107429e-03
                 294       -6.364581e+00       -6.343470e+00        5.090565e-03
                 295       -6.385711e+00       -6.343613e+00        5.075323e-03
                 296       -6.358151e+00       -6.343662e+00        5.058414e-03
                 297       -6.413488e+00       -6.343897e+00        5.046843e-03
                 298       -6.445486e+00       -6.344238e+00        5.041407e-03
                 299       -6.559571e+00       -6.344959e+00        5.075725e-03
                 300       -6.527592e+00       -6.345567e+00        5.095184e-03
                 301       -6.505191e+00       -6.346098e+00        5.105779e-03
                 302       -6.473122e+00       -6.346518e+00        5.106168e-03
                 303       -6.469407e+00       -6.346924e+00        5.105398e-03
                 304       -6.473542e+00       -6.347340e+00        5.105565e-03
                 305       -6.430296e+00       -6.347612e+00        5.096065e-03
                 306       -6.435556e+00       -6.347900e+00        5.087509e-03
                 307       -6.397424e+00       -6.348061e+00        5.073494e-03
                 308       -6.367800e+00       -6.348125e+00        5.057426e-03
                 309       -6.352208e+00       -6.348138e+00        5.041077e-03
                 310       -6.391797e+00       -6.348279e+00        5.026782e-03
                 311       -6.363493e+00       -6.348328e+00        5.010857e-03
                 312       -6.320997e+00       -6.348240e+00        4.995562e-03
                 313       -6.333618e+00       -6.348194e+00        4.979820e-03
                 314       -6.273850e+00       -6.347957e+00        4.969586e-03
                 315       -6.241414e+00       -6.347619e+00        4.965306e-03
                 316       -6.354016e+00       -6.347639e+00        4.949635e-03
                 317       -6.330642e+00       -6.347585e+00        4.934311e-03
                 318       -6.320481e+00       -6.347500e+00        4.919530e-03
                 319       -6.283925e+00       -6.347301e+00        4.908144e-03
                 320       -6.238203e+00       -6.346960e+00        4.904632e-03
                 321       -6.228585e+00       -6.346591e+00        4.903197e-03
                 322       -6.193089e+00       -6.346114e+00        4.911089e-03
                 323       -6.261314e+00       -6.345852e+00        4.902897e-03
                 324       -6.260423e+00       -6.345588e+00        4.894850e-03
                 325       -6.234927e+00       -6.345248e+00        4.891617e-03
                 326       -6.259072e+00       -6.344983e+00        4.883749e-03
                 327       -6.287925e+00       -6.344809e+00        4.871931e-03
                 328       -6.253398e+00       -6.344530e+00        4.865042e-03
                 329       -6.304897e+00       -6.344410e+00        4.851746e-03
                 330       -6.252067e+00       -6.344130e+00        4.845106e-03
                 331       -6.378575e+00       -6.344234e+00        4.831586e-03
                 332       -6.392827e+00       -6.344380e+00        4.819249e-03
                 333       -6.395439e+00       -6.344534e+00        4.807216e-03
                 334       -6.416474e+00       -6.344749e+00        4.797646e-03
                 335       -6.372944e+00       -6.344833e+00        4.784062e-03
                 336       -6.383458e+00       -6.344948e+00        4.771205e-03
                 337       -6.288685e+00       -6.344781e+00        4.759967e-03
                 338       -6.196955e+00       -6.344344e+00        4.765935e-03
                 339       -6.273735e+00       -6.344136e+00        4.756425e-03
                 340       -6.322561e+00       -6.344072e+00        4.742859e-03
