#                  BLOCK:   ACTUAL_P:           P_AVE:              ERROR:
                 345        8.028120e+00        7.779861e+00        2.609627e-02
                 346        7.811802e+00        7.779953e+00        2.602101e-02
                 347        7.418933e+00        7.778913e+00        2.596682e-02
                 348        7.570095e+00        7.778313e+00        2.589913e-02
                 349        7.991639e+00        7.778924e+00        2.583213e-02
                 350        7.610260e+00        7.778442e+00        2.576282e-02
                 351        7.723145e+00        7.778284e+00        2.568991e-02
                 352        7.720390e+00        7.778120e+00        2.561745e-02
                 353        7.444726e+00        7.777176e+00        2.556228e-02
                 354        7.444756e+00        7.776236e+00        2.550732e-02
                 355        7.534529e+00        7.775556e+00        2.544455e-02
                 356        7.849492e+00        7.775763e+00        2.537392e-02
                 357        7.826847e+00        7.775906e+00        2.530325e-02
                 358        7.739090e+00        7.775804e+00        2.523278e-02
                 359        8.046946e+00        7.776559e+00        2.517380e-02
                 360        7.880685e+00        7.776848e+00        2.510553e-02
                 361        7.761266e+00        7.776805e+00        2.503602e-02
                 362        7.374152e+00        7.775693e+00        2.499156e-02
                 363        7.729424e+00        7.775565e+00        2.492304e-02
                 364        7.585291e+00        7.775042e+00        2.486005e-02
                 365        7.599240e+00        7.774561e+00        2.479660e-02
                 366        7.452514e+00        7.773681e+00        2.474446e-02
                 367        7.753414e+00        7.773626e+00        2.467710e-02
                 368        7.385865e+00        7.772572e+00        2.463253e-02
                 369        7.363735e+00        7.771464e+00        2.459068e-02
                 370        7.462542e+00        7.770629e+00        2.453839e-02
                 371        7.399453e+00        7.769629e+00        2.449263e-02
                 372        7.501108e+00        7.768907e+00        2.443743e-02
                 373        7.826885e+00        7.769062e+00        2.437240e-02
                 374        7.774859e+00        7.769078e+00        2.430724e-02
                 375        7.572020e+00        7.768552e+00        2.424810e-02
                 376        7.923373e+00        7.768964e+00        2.418711e-02
                 377        7.807951e+00        7.769067e+00        2.412317e-02
                 378        7.972326e+00        7.769605e+00        2.406535e-02
                 379        8.462743e+00        7.771434e+00        2.407124e-02
                 380        8.174884e+00        7.772496e+00        2.403130e-02
                 381        8.052321e+00        7.773230e+00        2.397945e-02
                 382        7.668252e+00        7.772955e+00        2.391825e-02
                 383        7.589745e+00        7.772477e+00        2.386058e-02
                 384        7.378668e+00        7.771451e+00        2.382047e-02
                 385        7.848092e+00        7.771650e+00        2.375943e-02
                 386        7.599365e+00        7.771204e+00        2.370207e-02
                 387        7.755048e+00        7.771162e+00        2.364086e-02
                 388        7.491524e+00        7.770442e+00        2.359092e-02
                 389        7.668596e+00        7.770180e+00        2.353172e-02
                 390        7.571001e+00        7.769669e+00        2.347693e-02
                 391        7.367072e+00        7.768639e+00        2.343945e-02
                 392        7.302846e+00        7.767451e+00        2.340976e-02
                 393        6.928539e+00        7.765317e+00        2.344731e-02
                 394        7.486720e+00        7.764609e+00        2.339846e-02
                 395        7.644217e+00        7.764305e+00        2.334121e-02
                 396        7.578773e+00        7.763836e+00        2.328697e-02
                 397        7.293708e+00        7.762652e+00        2.325840e-02
                 398        7.640789e+00        7.762346e+00        2.320198e-02
                 399        7.317641e+00        7.761231e+00        2.317058e-02
                 400        7.103810e+00        7.759588e+00        2.317088e-02
                 401        7.611019e+00        7.759217e+00        2.311605e-02
                 402        7.634564e+00        7.758907e+00        2.306063e-02
                 403        7.544640e+00        7.758375e+00        2.300954e-02
                 404        8.183851e+00        7.759429e+00        2.297667e-02
                 405        8.227286e+00        7.760584e+00        2.294896e-02
                 406        8.280882e+00        7.761865e+00        2.292819e-02
                 407        8.529212e+00        7.763751e+00        2.294924e-02
                 408        8.142919e+00        7.764680e+00        2.291180e-02
                 409        8.525420e+00        7.766540e+00        2.293116e-02
                 410        8.144734e+00        7.767462e+00        2.289377e-02
                 411        7.905795e+00        7.767799e+00        2.284054e-02
                 412        7.719153e+00        7.767681e+00        2.278541e-02
                 413        7.596601e+00        7.767267e+00        2.273401e-02
                 414        7.712760e+00        7.767135e+00        2.267947e-02
                 415        7.551498e+00        7.766615e+00        2.263078e-02
                 416        7.398817e+00        7.765731e+00        2.259364e-02
                 417        7.381408e+00        7.764810e+00        2.255825e-02
                 418        7.864856e+00        7.765049e+00        2.250555e-02
                 419        7.846407e+00        7.765243e+00        2.245268e-02
                 420        8.055092e+00        7.765933e+00        2.240982e-02
                 421        7.936009e+00        7.766337e+00        2.236023e-02
                 422        8.070732e+00        7.767059e+00        2.231888e-02
                 423        7.815702e+00        7.767174e+00        2.226641e-02
                 424        8.021094e+00        7.767772e+00        2.222195e-02
                 425        7.629331e+00        7.767447e+00        2.217205e-02
                 426        7.626603e+00        7.767116e+00        2.212246e-02
                 427        7.806130e+00        7.767207e+00        2.207084e-02
                 428        7.828945e+00        7.767352e+00        2.201975e-02
                 429        8.352556e+00        7.768716e+00        2.201063e-02
                 430        8.408132e+00        7.770203e+00        2.200962e-02
                 431        8.090544e+00        7.770946e+00        2.197110e-02
                 432        7.872163e+00        7.771180e+00        2.192149e-02
                 433        8.256424e+00        7.772301e+00        2.189949e-02
                 434        7.728046e+00        7.772199e+00        2.184926e-02
                 435        7.235131e+00        7.770964e+00        2.183389e-02
                 436        7.092616e+00        7.769409e+00        2.183918e-02
                 437        6.542332e+00        7.766601e+00        2.196898e-02
                 438        6.516435e+00        7.763746e+00        2.210346e-02
                 439        6.272869e+00        7.760350e+00        2.231248e-02
                 440        6.813146e+00        7.758198e+00        2.236537e-02
                 441        6.868376e+00        7.756180e+00        2.240549e-02
                 442        7.127667e+00        7.754758e+00        2.239988e-02
                 443        7.204763e+00        7.753516e+00        2.238369e-02
                 444        7.392045e+00        7.752702e+00        2.234808e-02
                 445        7.462558e+00        7.752050e+00        2.230737e-02
                 446        7.947129e+00        7.752488e+00        2.226164e-02
                 447        7.837160e+00        7.752677e+00        2.221264e-02
                 448        8.046354e+00        7.753333e+00        2.217273e-02
                 449        7.649648e+00        7.753102e+00        2.212455e-02
                 450        7.503427e+00        7.752547e+00        2.208234e-02
                 451        7.495472e+00        7.751977e+00        2.204073e-02
                 452        7.300252e+00        7.750977e+00        2.201462e-02
                 453        7.055719e+00        7.749443e+00        2.201946e-02
                 454        6.987449e+00        7.747764e+00        2.203483e-02
                 455        7.319906e+00        7.746824e+00        2.200646e-02
                 456        7.321899e+00        7.745892e+00        2.197792e-02
                 457        7.429897e+00        7.745201e+00        2.194070e-02
                 458        7.975525e+00        7.745703e+00        2.189856e-02
                 459        7.665033e+00        7.745528e+00        2.185155e-02
                 460        7.778938e+00        7.745600e+00        2.180417e-02
                 461        7.940755e+00        7.746024e+00        2.176098e-02
                 462        7.966467e+00        7.746501e+00        2.171911e-02
                 463        7.937863e+00        7.746914e+00        2.167613e-02
                 464        7.808237e+00        7.747046e+00        2.162982e-02
                 465        7.760938e+00        7.747076e+00        2.158333e-02
                 466        7.780887e+00        7.747149e+00        2.153713e-02
                 467        8.032332e+00        7.747759e+00        2.149967e-02
                 468        7.839697e+00        7.747956e+00        2.145463e-02
                 469        8.185451e+00        7.748889e+00        2.142915e-02
                 470        8.098935e+00        7.749633e+00        2.139650e-02
                 471        8.002282e+00        7.750170e+00        2.135779e-02
                 472        8.253792e+00        7.751237e+00        2.133918e-02
                 473        8.158446e+00        7.752098e+00        2.131142e-02
                 474        7.974383e+00        7.752567e+00        2.127162e-02
                 475        8.230448e+00        7.753573e+00        2.125062e-02
                 476        8.060966e+00        7.754219e+00        2.121578e-02
                 477        8.338961e+00        7.755444e+00        2.120669e-02
                 478        8.075166e+00        7.756113e+00        2.117287e-02
                 479        8.069450e+00        7.756767e+00        2.113877e-02
                 480        8.255108e+00        7.757806e+00        2.112021e-02
                 481        8.357650e+00        7.759053e+00        2.111309e-02
                 482        8.514960e+00        7.760621e+00        2.112745e-02
                 483        8.338373e+00        7.761817e+00        2.111754e-02
                 484        8.348593e+00        7.763030e+00        2.110868e-02
                 485        8.086017e+00        7.763695e+00        2.107566e-02
                 486        8.090948e+00        7.764369e+00        2.104305e-02
                 487        8.169626e+00        7.765201e+00        2.101629e-02
                 488        7.748353e+00        7.765166e+00        2.097325e-02
                 489        7.806058e+00        7.765250e+00        2.093053e-02
                 490        7.424591e+00        7.764555e+00        2.089936e-02
                 491        7.658723e+00        7.764339e+00        2.085790e-02
                 492        7.323316e+00        7.763443e+00        2.083476e-02
                 493        7.310252e+00        7.762524e+00        2.081277e-02
                 494        7.766942e+00        7.762533e+00        2.077064e-02
