#                  BLOCK:   ACTUAL_P:           P_AVE:              ERROR:
                 271        4.419318e-02        4.428084e-02        2.259925e-06
                 272        4.419235e-02        4.428052e-02        2.274915e-06
                 273        4.419151e-02        4.428019e-02        2.289825e-06
                 274        4.419044e-02        4.427987e-02        2.304779e-06
                 275        4.418960e-02        4.427954e-02        2.319654e-06
                 276        4.418852e-02        4.427921e-02        2.334575e-06
                 277        4.418767e-02        4.427888e-02        2.349420e-06
                 278        4.418658e-02        4.427854e-02        2.364312e-06
                 279        4.418501e-02        4.427821e-02        2.379487e-06
                 280        4.418415e-02        4.427787e-02        2.394583e-06
                 281        4.418329e-02        4.427754e-02        2.409603e-06
                 282        4.418147e-02        4.427720e-02        2.425018e-06
                 283        4.418037e-02        4.427685e-02        2.440468e-06
                 284        4.417925e-02        4.427651e-02        2.455953e-06
                 285        4.417838e-02        4.427617e-02        2.471356e-06
                 286        4.417702e-02        4.427582e-02        2.486909e-06
                 287        4.417614e-02        4.427547e-02        2.502381e-06
                 288        4.417525e-02        4.427512e-02        2.517775e-06
                 289        4.417412e-02        4.427477e-02        2.533205e-06
                 290        4.417322e-02        4.427442e-02        2.548559e-06
                 291        4.417232e-02        4.427407e-02        2.563840e-06
                 292        4.417142e-02        4.427372e-02        2.579050e-06
                 293        4.417051e-02        4.427337e-02        2.594191e-06
                 294        4.416937e-02        4.427302e-02        2.609376e-06
                 295        4.416822e-02        4.427266e-02        2.624602e-06
                 296        4.416706e-02        4.427230e-02        2.639871e-06
                 297        4.416614e-02        4.427195e-02        2.655073e-06
                 298        4.416522e-02        4.427159e-02        2.670210e-06
                 299        4.416381e-02        4.427123e-02        2.685498e-06
                 300        4.416288e-02        4.427087e-02        2.700722e-06
                 301        4.416195e-02        4.427051e-02        2.715884e-06
                 302        4.416101e-02        4.427014e-02        2.730985e-06
                 303        4.415983e-02        4.426978e-02        2.746133e-06
                 304        4.415888e-02        4.426941e-02        2.761222e-06
                 305        4.415746e-02        4.426905e-02        2.776460e-06
                 306        4.415627e-02        4.426868e-02        2.791741e-06
                 307        4.415531e-02        4.426831e-02        2.806964e-06
                 308        4.415411e-02        4.426794e-02        2.822231e-06
                 309        4.415291e-02        4.426757e-02        2.837542e-06
                 310        4.415171e-02        4.426719e-02        2.852896e-06
                 311        4.415026e-02        4.426682e-02        2.868393e-06
                 312        4.414857e-02        4.426644e-02        2.884127e-06
                 313        4.414735e-02        4.426606e-02        2.899898e-06
                 314        4.414613e-02        4.426567e-02        2.915704e-06
                 315        4.414467e-02        4.426529e-02        2.931644e-06
                 316        4.414320e-02        4.426490e-02        2.947714e-06
                 317        4.414197e-02        4.426452e-02        2.963815e-06
                 318        4.414097e-02        4.426413e-02        2.979848e-06
                 319        4.413973e-02        4.426374e-02        2.995914e-06
                 320        4.413849e-02        4.426335e-02        3.012011e-06
                 321        4.413724e-02        4.426295e-02        3.028139e-06
                 322        4.413623e-02        4.426256e-02        3.044203e-06
                 323        4.413497e-02        4.426217e-02        3.060300e-06
                 324        4.413395e-02        4.426177e-02        3.076334e-06
                 325        4.413269e-02        4.426137e-02        3.092402e-06
                 326        4.413166e-02        4.426097e-02        3.108410e-06
                 327        4.413039e-02        4.426057e-02        3.124453e-06
                 328        4.412935e-02        4.426017e-02        3.140438e-06
                 329        4.412783e-02        4.425977e-02        3.156550e-06
                 330        4.412679e-02        4.425937e-02        3.172604e-06
                 331        4.412574e-02        4.425897e-02        3.188602e-06
                 332        4.412421e-02        4.425856e-02        3.204727e-06
                 333        4.412292e-02        4.425815e-02        3.220885e-06
                 334        4.412186e-02        4.425774e-02        3.236988e-06
                 335        4.412079e-02        4.425734e-02        3.253038e-06
                 336        4.411925e-02        4.425692e-02        3.269212e-06
                 337        4.411818e-02        4.425651e-02        3.285333e-06
                 338        4.411710e-02        4.425610e-02        3.301401e-06
                 339        4.411603e-02        4.425569e-02        3.317420e-06
                 340        4.411423e-02        4.425527e-02        3.333650e-06
                 341        4.411314e-02        4.425485e-02        3.349828e-06
                 342        4.411205e-02        4.425444e-02        3.365956e-06
                 343        4.411072e-02        4.425402e-02        3.382121e-06
                 344        4.410962e-02        4.425360e-02        3.398238e-06
                 345        4.410828e-02        4.425318e-02        3.414393e-06
                 346        4.410694e-02        4.425275e-02        3.430585e-06
                 347        4.410535e-02        4.425233e-02        3.446898e-06
                 348        4.410424e-02        4.425190e-02        3.463163e-06
                 349        4.410288e-02        4.425148e-02        3.479464e-06
                 350        4.410176e-02        4.425105e-02        3.495719e-06
                 351        4.410016e-02        4.425062e-02        3.512093e-06
                 352        4.409879e-02        4.425019e-02        3.528503e-06
                 353        4.409742e-02        4.424976e-02        3.544948e-06
                 354        4.409604e-02        4.424932e-02        3.561429e-06
                 355        4.409490e-02        4.424889e-02        3.577863e-06
                 356        4.409375e-02        4.424845e-02        3.594252e-06
                 357        4.409260e-02        4.424801e-02        3.610598e-06
                 358        4.409097e-02        4.424758e-02        3.627062e-06
                 359        4.408958e-02        4.424713e-02        3.643562e-06
                 360        4.408841e-02        4.424669e-02        3.660018e-06
                 361        4.408725e-02        4.424625e-02        3.676434e-06
                 362        4.408631e-02        4.424581e-02        3.692731e-06
                 363        4.408490e-02        4.424537e-02        3.709069e-06
                 364        4.408348e-02        4.424492e-02        3.725447e-06
                 365        4.408206e-02        4.424448e-02        3.741865e-06
                 366        4.408040e-02        4.424403e-02        3.758399e-06
                 367        4.407897e-02        4.424358e-02        3.774971e-06
                 368        4.407778e-02        4.424313e-02        3.791505e-06
                 369        4.407658e-02        4.424268e-02        3.808001e-06
                 370        4.407513e-02        4.424222e-02        3.824537e-06
                 371        4.407393e-02        4.424177e-02        3.841037e-06
                 372        4.407295e-02        4.424132e-02        3.857428e-06
                 373        4.407173e-02        4.424086e-02        3.873786e-06
                 374        4.407051e-02        4.424041e-02        3.890113e-06
                 375        4.406905e-02        4.423995e-02        3.906484e-06
                 376        4.406782e-02        4.423949e-02        3.922825e-06
                 377        4.406659e-02        4.423903e-02        3.939138e-06
                 378        4.406535e-02        4.423857e-02        3.955423e-06
                 379        4.406364e-02        4.423811e-02        3.971826e-06
                 380        4.406192e-02        4.423765e-02        3.988346e-06
                 381        4.406067e-02        4.423718e-02        4.004836e-06
                 382        4.405918e-02        4.423672e-02        4.021371e-06
                 383        4.405792e-02        4.423625e-02        4.037877e-06
                 384        4.405595e-02        4.423578e-02        4.054569e-06
                 385        4.405468e-02        4.423531e-02        4.071233e-06
                 386        4.405294e-02        4.423484e-02        4.088009e-06
                 387        4.405142e-02        4.423436e-02        4.104827e-06
                 388        4.405014e-02        4.423389e-02        4.121615e-06
                 389        4.404886e-02        4.423341e-02        4.138374e-06
                 390        4.404710e-02        4.423294e-02        4.155246e-06
                 391        4.404557e-02        4.423246e-02        4.172158e-06
                 392        4.404427e-02        4.423198e-02        4.189043e-06
                 393        4.404297e-02        4.423150e-02        4.205900e-06
                 394        4.404167e-02        4.423101e-02        4.222731e-06
                 395        4.404036e-02        4.423053e-02        4.239536e-06
                 396        4.403857e-02        4.423005e-02        4.256454e-06
                 397        4.403725e-02        4.422956e-02        4.273346e-06
                 398        4.403593e-02        4.422907e-02        4.290214e-06
                 399        4.403413e-02        4.422859e-02        4.307192e-06
                 400        4.403256e-02        4.422810e-02        4.324213e-06
                 401        4.403123e-02        4.422761e-02        4.341210e-06
                 402        4.402989e-02        4.422711e-02        4.358184e-06
                 403        4.402854e-02        4.422662e-02        4.375134e-06
                 404        4.402719e-02        4.422613e-02        4.392064e-06
                 405        4.402560e-02        4.422563e-02        4.409038e-06
                 406        4.402377e-02        4.422513e-02        4.426122e-06
                 407        4.402241e-02        4.422464e-02        4.443184e-06
                 408        4.402105e-02        4.422414e-02        4.460226e-06
                 409        4.401944e-02        4.422364e-02        4.477312e-06
                 410        4.401807e-02        4.422314e-02        4.494379e-06
