#                  BLOCK:   ACTUAL_PE:     PE_AVE:      ERROR:
                 404            -0.03606          -0.0331929         6.29192e-05
                 405           -0.036083             -0.0332         6.31672e-05
                 406          -0.0361083          -0.0332072         6.34165e-05
                 407           -0.036129          -0.0332143         6.36657e-05
                 408          -0.0361497          -0.0332215         6.39149e-05
                 409          -0.0361729          -0.0332288         6.41647e-05
                 410          -0.0361938           -0.033236         6.44145e-05
                 411          -0.0362171          -0.0332432         6.46648e-05
                 412          -0.0362405          -0.0332505         6.49158e-05
                 413          -0.0362616          -0.0332578         6.51667e-05
                 414          -0.0362875          -0.0332651         6.54189e-05
                 415          -0.0363087          -0.0332725         6.56711e-05
                 416          -0.0363324          -0.0332798         6.59239e-05
                 417          -0.0363537          -0.0332872         6.61766e-05
                 418          -0.0363751          -0.0332946         6.64294e-05
                 419           -0.036399           -0.033302         6.66827e-05
                 420          -0.0364206          -0.0333094         6.69361e-05
                 421          -0.0364446          -0.0333169         6.71901e-05
                 422          -0.0364686          -0.0333243         6.74447e-05
                 423          -0.0364951          -0.0333318         6.77005e-05
                 424           -0.036517          -0.0333393         6.79564e-05
                 425          -0.0365413          -0.0333469         6.82128e-05
                 426          -0.0365656          -0.0333544         6.84699e-05
                 427          -0.0365924           -0.033362         6.87281e-05
                 428          -0.0366145          -0.0333696         6.89864e-05
                 429          -0.0366415          -0.0333772         6.92459e-05
                 430          -0.0366661          -0.0333849          6.9506e-05
                 431          -0.0366908          -0.0333926         6.97667e-05
                 432          -0.0367132          -0.0334002         7.00274e-05
                 433          -0.0367357          -0.0334079          7.0288e-05
                 434           -0.036763          -0.0334157         7.05499e-05
                 435          -0.0367856          -0.0334234         7.08118e-05
                 436          -0.0368083          -0.0334312         7.10737e-05
                 437          -0.0368358           -0.033439         7.13368e-05
                 438          -0.0368611          -0.0334468         7.16005e-05
                 439          -0.0368887          -0.0334546         7.18654e-05
                 440          -0.0369117          -0.0334625         7.21303e-05
                 441          -0.0369395          -0.0334704         7.23963e-05
                 442           -0.036965          -0.0334783          7.2663e-05
                 443          -0.0369906          -0.0334862         7.29302e-05
                 444          -0.0370138          -0.0334941         7.31975e-05
                 445          -0.0370396          -0.0335021         7.34653e-05
                 446          -0.0370654          -0.0335101         7.37337e-05
                 447          -0.0370912          -0.0335181         7.40027e-05
                 448          -0.0371148          -0.0335261         7.42718e-05
                 449          -0.0371361          -0.0335342         7.45402e-05
                 450          -0.0371598          -0.0335422         7.48088e-05
                 451          -0.0371836          -0.0335503         7.50773e-05
                 452          -0.0372075          -0.0335584         7.53459e-05
                 453          -0.0372314          -0.0335665         7.56146e-05
                 454          -0.0372578          -0.0335746         7.58839e-05
                 455          -0.0372819          -0.0335828         7.61533e-05
                 456          -0.0373108           -0.033591         7.64239e-05
                 457           -0.037335          -0.0335992         7.66946e-05
                 458          -0.0373617          -0.0336074         7.69658e-05
                 459          -0.0373861          -0.0336156         7.72372e-05
                 460           -0.037413          -0.0336239         7.75092e-05
                 461          -0.0374375          -0.0336321         7.77813e-05
                 462          -0.0374645          -0.0336404          7.8054e-05
                 463          -0.0374892          -0.0336487         7.83268e-05
                 464           -0.037514          -0.0336571         7.85997e-05
                 465          -0.0375412          -0.0336654         7.88732e-05
                 466          -0.0375661          -0.0336738         7.91469e-05
                 467          -0.0375935          -0.0336822         7.94212e-05
                 468          -0.0376209          -0.0336906         7.96962e-05
                 469          -0.0376461           -0.033699         7.99713e-05
                 470          -0.0376713          -0.0337075         8.02465e-05
                 471          -0.0376989           -0.033716         8.05223e-05
                 472          -0.0377267          -0.0337245         8.07988e-05
                 473          -0.0377545           -0.033733          8.1076e-05
                 474          -0.0377824          -0.0337415         8.13538e-05
                 475          -0.0378057          -0.0337501         8.16312e-05
                 476          -0.0378314          -0.0337587         8.19088e-05
                 477          -0.0378572          -0.0337673         8.21865e-05
                 478           -0.037883          -0.0337759         8.24644e-05
                 479          -0.0379113          -0.0337845         8.27429e-05
                 480          -0.0379421          -0.0337932         8.30227e-05
                 481          -0.0379682          -0.0338018         8.33026e-05
                 482          -0.0379944          -0.0338105         8.35826e-05
                 483          -0.0380207          -0.0338193         8.38629e-05
                 484           -0.038047           -0.033828         8.41433e-05
                 485          -0.0380758          -0.0338367         8.44244e-05
                 486          -0.0381023          -0.0338455         8.47057e-05
                 487          -0.0381289          -0.0338543         8.49871e-05
                 488          -0.0381532          -0.0338631         8.52683e-05
                 489          -0.0381823           -0.033872         8.55502e-05
                 490          -0.0382115          -0.0338808         8.58328e-05
                 491          -0.0382384          -0.0338897         8.61155e-05
                 492          -0.0382654          -0.0338986         8.63986e-05
                 493          -0.0382925          -0.0339075         8.66818e-05
                 494          -0.0383196          -0.0339164         8.69652e-05
                 495          -0.0383492          -0.0339254         8.72494e-05
                 496          -0.0383766          -0.0339344         8.75338e-05
                 497           -0.038404          -0.0339434         8.78184e-05
                 498          -0.0384338          -0.0339524         8.81038e-05
                 499           -0.038459          -0.0339614         8.83889e-05
                 500          -0.0384866          -0.0339704         8.86743e-05
                 501          -0.0385144          -0.0339795         8.89599e-05
                 502          -0.0385422          -0.0339886         8.92458e-05
                 503          -0.0385701          -0.0339977          8.9532e-05
                 504          -0.0385981          -0.0340068         8.98184e-05
                 505          -0.0386261           -0.034016         9.01051e-05
                 506          -0.0386543          -0.0340252         9.03921e-05
                 507          -0.0386848          -0.0340343         9.06798e-05
                 508          -0.0387132          -0.0340436         9.09679e-05
                 509          -0.0387415          -0.0340528         9.12562e-05
                 510          -0.0387748           -0.034062         9.15457e-05
                 511          -0.0388033          -0.0340713         9.18356e-05
                 512          -0.0388343          -0.0340806         9.21262e-05
                 513          -0.0388655            -0.03409         9.24175e-05
                 514           -0.038899          -0.0340993         9.27101e-05
                 515          -0.0389303          -0.0341087         9.30035e-05
                 516          -0.0389593          -0.0341181         9.32971e-05
                 517          -0.0389884          -0.0341275          9.3591e-05
                 518          -0.0390199           -0.034137         9.38857e-05
                 519          -0.0390539          -0.0341464         9.41816e-05
                 520          -0.0390832          -0.0341559         9.44778e-05
